query_name,query_cid,query_smiles,query_journal,rank,ref_cid,ref_smiles,ref_status,distance
2-(methylthio) ethylamine hydrochloride (METEAM),87697,CSCCN,NATURE PHOTONICS,9,166913544,CSC(=C)CCN,Success,0.000818
2-(methylthio) ethylamine hydrochloride (METEAM),87697,CSCCN,NATURE PHOTONICS,10,23422698,C(CN)CSC(CC(SCCCN)SCCCN)SCCCN,Success,0.000818
entinostat,4261,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,NATURE PHOTONICS,1,4261,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,Success,0.000000
entinostat,4261,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,NATURE PHOTONICS,2,76309968,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CN[11C](=O)OCC3=CN=CC=C3,Success,0.000000
entinostat,4261,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,NATURE PHOTONICS,3,22668056,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CC=NC=C3,Success,0.000110
entinostat,4261,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,NATURE PHOTONICS,4,156780818,C1=CC=C(C(=C1)C(=O)NC2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3)N,Success,0.000139
entinostat,4261,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,NATURE PHOTONICS,5,9885988,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)COC(=O)NCC3=CN=CC=C3,Success,0.000202
entinostat,4261,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,NATURE PHOTONICS,6,10785752,C1=CC(=CC(=C1)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3)N,Success,0.000287
entinostat,4261,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,NATURE PHOTONICS,7,22668180,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)NC(=O)OCCC3=CN=CC=C3,Success,0.000311
entinostat,4261,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,NATURE PHOTONICS,8,10643236,C1=CC(=CN=C1)COC(=O)NCC2=CC=C(C=C2)C(=O)NC3=CC=C(C=C3)N,Success,0.000331
entinostat,4261,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,NATURE PHOTONICS,9,44595540,C1=CC=C(C=C1)COC(=O)NCC2=CC=C(C=C2)C(=O)NC3=C(C=NC=C3)N,Success,0.000383
entinostat,4261,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,NATURE PHOTONICS,10,22668203,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CC=CC=N3,Success,0.000413
